Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions
Mark Hernandez,william81@example.com,william81,1975-03-07,Male,Chicago,2024-03-18,2025-03-18,Monthly,Visa,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Medium,4.6,8
Angela Hall,laura84@example.org,laura84,1962-06-14,Female,Chicago,2024-03-21,2025-03-21,Monthly,Amex,Auto-renew,Occasional,Electronics,Comedy,Tablet,High,4.4,2
Laura Griffith,michelle48@example.net,michelle48,2001-01-09,Female,Chicago,2024-03-19,2025-03-19,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,Medium,3.6,9
Anita Calhoun MD,ashley86@example.com,ashley86,1945-08-27,Male,New York,2024-03-14,2025-03-14,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Medium,4.8,6
Shannon Clark,traci17@example.net,traci17,1943-08-20,Male,New York,2024-03-14,2025-03-14,Monthly,Amex,Manual,Frequent,Books,Horror,Smartphone,Low,5.0,6
Geoffrey Garcia,benjamin76@example.org,benjamin76,1993-10-31,Male,Indianapolis,2024-02-03,2025-02-02,Annual,Mastercard,Auto-renew,Regular,Clothing,Sci-Fi,Smart TV,Medium,3.9,5
Jeffery Maxwell,debra51@example.org,debra51,1953-04-13,Female,Los Angeles,2024-02-21,2025-02-20,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,Low,3.6,7
Robert Lloyd,bradleypatrick@example.org,bradleypatrick,1985-03-15,Male,Chicago,2024-03-09,2025-03-09,Monthly,Mastercard,Manual,Occasional,Electronics,Romance,Smartphone,Low,4.3,2
Melissa Wells,luis09@example.net,luis09,1950-07-27,Female,Los Angeles,2024-03-09,2025-03-09,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Horror,Smart TV,Low,3.1,8
Antonio Jackson,jrandall@example.org,jrandall,1965-07-23,Female,San Jose,2024-03-24,2025-03-24,Annual,Visa,Manual,Occasional,Books,Sci-Fi,Tablet,High,4.5,9
John Smith,dhuffman@example.net,dhuffman,1990-12-21,Male,Chicago,2024-01-28,2025-01-27,Monthly,Visa,Manual,Occasional,Electronics,Drama,Smart TV,High,3.9,8
Jeremy Lyons,richardsmicheal@example.com,richardsmicheal,1976-11-05,Male,Houston,2024-02-02,2025-02-01,Annual,Amex,Manual,Frequent,Clothing,Horror,Smartphone,High,3.9,0
Cathy Harrington,kellygibson@example.org,kellygibson,1942-03-21,Male,Chicago,2024-04-14,2025-04-14,Monthly,Mastercard,Manual,Occasional,Clothing,Drama,Smartphone,Low,4.9,8
Lisa Bauer,allison13@example.org,allison13,1964-10-26,Male,Phoenix,2024-01-28,2025-01-27,Annual,Amex,Manual,Occasional,Electronics,Comedy,Smart TV,High,3.6,5
Margaret Cooper,fbradley@example.org,fbradley,1964-02-19,Female,Houston,2024-03-13,2025-03-13,Annual,Visa,Auto-renew,Frequent,Clothing,Action,Tablet,Low,4.9,3
Robert Browning,lorettashelton@example.net,lorettashelton,1973-11-09,Female,Fort Worth,2024-02-03,2025-02-02,Annual,Mastercard,Auto-renew,Regular,Electronics,Sci-Fi,Smartphone,High,3.6,6
Amanda Williams DVM,reginald05@example.org,reginald05,1953-03-27,Female,Boston,2024-01-02,2025-01-01,Monthly,Visa,Auto-renew,Occasional,Electronics,Sci-Fi,Smart TV,Medium,3.0,2
William Clark,michael86@example.com,michael86,1961-05-19,Male,Houston,2024-04-01,2025-04-01,Monthly,Amex,Auto-renew,Occasional,Books,Drama,Tablet,Low,4.5,10
Julie Dean,hduffy@example.org,hduffy,2003-03-09,Female,Austin,2024-04-07,2025-04-07,Monthly,Mastercard,Auto-renew,Frequent,Books,Comedy,Smart TV,High,3.5,10
Neil Allen,hamiltonkeith@example.org,hamiltonkeith,1968-09-05,Female,Chicago,2024-04-11,2025-04-11,Annual,Mastercard,Auto-renew,Occasional,Books,Action,Smartphone,Low,3.7,9
Nicole Hunter,wendy13@example.com,wendy13,1953-09-24,Female,Oklahoma City,2024-02-15,2025-02-14,Monthly,Amex,Auto-renew,Occasional,Books,Comedy,Smart TV,Medium,3.9,4
Susan Hurst,jessicaespinoza@example.com,jessicaespinoza,1991-10-15,Female,San Francisco,2024-03-06,2025-03-06,Annual,Visa,Manual,Occasional,Clothing,Romance,Smart TV,High,4.6,10
Megan Bates,douglas02@example.net,douglas02,1981-08-17,Female,Detroit,2024-01-09,2025-01-08,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.8,3
Kristen Rowe,bcollins@example.org,bcollins,1974-06-10,Male,Los Angeles,2024-03-09,2025-03-09,Monthly,Mastercard,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Low,3.6,4
Jessica Flores,aguilarjohn@example.net,aguilarjohn,1948-06-30,Female,Washington,2024-01-17,2025-01-16,Monthly,Amex,Manual,Frequent,Electronics,Comedy,Smartphone,Low,4.5,6
Elizabeth Taylor,desiree88@example.com,desiree88,1973-07-13,Female,Charlotte,2024-03-29,2025-03-29,Monthly,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.6,10
Ronald Brooks MD,arodriguez@example.net,arodriguez,2004-04-07,Female,Denver,2024-02-01,2025-01-31,Annual,Visa,Auto-renew,Frequent,Books,Comedy,Tablet,High,3.0,9
Sonya Obrien,larry78@example.org,larry78,1946-02-17,Female,Detroit,2024-03-19,2025-03-19,Annual,Visa,Manual,Frequent,Electronics,Sci-Fi,Smart TV,Low,3.4,0
Tracy Koch,timothy25@example.net,timothy25,1947-08-03,Female,Austin,2024-04-09,2025-04-09,Monthly,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,4.7,9
Kendra Brooks DVM,obray@example.net,obray,1937-01-29,Male,Washington,2024-01-21,2025-01-20,Monthly,Amex,Manual,Regular,Clothing,Action,Smartphone,Low,3.2,2
Janice Oliver,bethany83@example.net,bethany83,1988-12-02,Male,Seattle,2024-02-27,2025-02-26,Monthly,Visa,Auto-renew,Frequent,Books,Comedy,Tablet,Low,4.1,5
Jennifer Shields,aanderson@example.org,aanderson,2004-10-07,Male,Oklahoma City,2024-03-03,2025-03-03,Annual,Mastercard,Auto-renew,Regular,Electronics,Drama,Smartphone,High,3.1,7
Diana Dillon,diane28@example.com,diane28,1981-04-21,Male,New York,2024-01-30,2025-01-29,Monthly,Visa,Auto-renew,Regular,Electronics,Drama,Smartphone,Medium,3.5,4
David Mata,cheyennewilson@example.net,cheyennewilson,1967-08-12,Male,Philadelphia,2024-04-08,2025-04-08,Annual,Amex,Manual,Frequent,Electronics,Drama,Tablet,Low,4.8,9
Megan Vaughan,walkersusan@example.net,walkersusan,1938-02-23,Female,Phoenix,2024-02-03,2025-02-02,Annual,Visa,Manual,Frequent,Books,Horror,Tablet,Medium,3.3,0
Kelsey Diaz,jamesstevens@example.com,jamesstevens,1992-06-29,Female,Austin,2024-02-07,2025-02-06,Annual,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Smart TV,Low,4.4,5
Jimmy Parker,shannon08@example.org,shannon08,1967-05-15,Female,Los Angeles,2024-02-18,2025-02-17,Monthly,Mastercard,Manual,Regular,Books,Documentary,Smart TV,Medium,4.9,10
Perry Fry,lucas69@example.com,lucas69,1993-12-10,Female,Austin,2024-03-10,2025-03-10,Monthly,Visa,Manual,Regular,Clothing,Drama,Smartphone,Low,3.8,10
Evelyn Williams,john77@example.org,john77,1942-08-03,Male,Detroit,2024-03-18,2025-03-18,Monthly,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Tablet,Low,4.1,10
Julie Sanchez,bakerzachary@example.net,bakerzachary,1994-12-11,Female,Houston,2024-01-29,2025-01-28,Annual,Visa,Manual,Regular,Electronics,Comedy,Smartphone,Low,3.4,6
Joseph Davis,greenelisa@example.com,greenelisa,1933-10-12,Male,San Jose,2024-01-07,2025-01-06,Monthly,Mastercard,Manual,Frequent,Clothing,Action,Smart TV,Low,3.3,3
Monique Rodriguez,rrhodes@example.com,rrhodes,1940-05-03,Male,Chicago,2024-03-20,2025-03-20,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,Smartphone,High,3.6,9
Thomas Davis,brendasmith@example.com,brendasmith,1938-12-01,Female,San Diego,2024-02-29,2025-02-28,Annual,Visa,Auto-renew,Regular,Electronics,Romance,Smartphone,High,3.1,5
Christopher Dickerson,wgregory@example.com,wgregory,1992-05-05,Female,Dallas,2024-01-15,2025-01-14,Monthly,Amex,Auto-renew,Occasional,Books,Action,Smart TV,High,3.2,4
Keith Baker,ujones@example.com,ujones,1972-07-11,Female,Dallas,2024-02-03,2025-02-02,Annual,Amex,Manual,Occasional,Clothing,Horror,Smartphone,Medium,3.0,1
Ashley Cortez,lisa59@example.net,lisa59,1948-06-13,Female,Chicago,2024-02-23,2025-02-22,Annual,Visa,Manual,Frequent,Books,Action,Smart TV,Low,3.9,3
Tammy Ward,shannon33@example.com,shannon33,1974-03-16,Female,Fort Worth,2024-01-28,2025-01-27,Annual,Mastercard,Auto-renew,Frequent,Books,Horror,Smart TV,Low,4.8,4
Mary Fernandez,richardsjimmy@example.com,richardsjimmy,1990-04-27,Male,Indianapolis,2024-02-10,2025-02-09,Monthly,Amex,Manual,Regular,Books,Romance,Smart TV,Low,4.4,2
Gilbert Brown,ashleytate@example.net,ashleytate,1984-03-24,Male,Denver,2024-02-27,2025-02-26,Annual,Visa,Auto-renew,Frequent,Electronics,Romance,Smart TV,Low,4.0,2
Vanessa Lutz,harriscameron@example.org,harriscameron,1951-11-13,Female,Boston,2024-02-11,2025-02-10,Monthly,Mastercard,Manual,Regular,Electronics,Action,Tablet,Medium,4.7,3
Jenna Pham,marybeltran@example.org,marybeltran,1937-08-15,Male,Chicago,2024-01-13,2025-01-12,Monthly,Mastercard,Auto-renew,Occasional,Books,Drama,Tablet,High,3.4,9
Alicia Williams,xpierce@example.org,xpierce,1991-06-20,Male,New York,2024-02-22,2025-02-21,Monthly,Amex,Manual,Frequent,Books,Comedy,Tablet,Medium,4.2,2
Laura Saunders,sara71@example.net,sara71,1945-02-21,Male,Philadelphia,2024-02-13,2025-02-12,Annual,Mastercard,Manual,Occasional,Books,Drama,Tablet,Medium,3.9,3
Connor Morris,umiller@example.org,umiller,1981-03-04,Female,New York,2024-02-08,2025-02-07,Annual,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,High,3.9,4
Shannon Farmer,coffeyparker@example.org,coffeyparker,1958-12-15,Female,Jacksonville,2024-02-03,2025-02-02,Annual,Mastercard,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.6,6
Mackenzie Harris,andersonemily@example.net,andersonemily,1963-11-06,Female,New York,2024-03-01,2025-03-01,Annual,Mastercard,Auto-renew,Regular,Clothing,Action,Smartphone,Medium,3.2,9
Stephanie Potter,heather10@example.org,heather10,1958-05-05,Female,San Antonio,2024-03-25,2025-03-25,Monthly,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.7,3
Mitchell Potter,fsanchez@example.net,fsanchez,1979-08-27,Male,Jacksonville,2024-01-27,2025-01-26,Annual,Visa,Manual,Regular,Books,Documentary,Tablet,High,4.7,4
Jonathan Rodriguez,nichole85@example.net,nichole85,1967-12-20,Male,Jacksonville,2024-02-29,2025-02-28,Monthly,Visa,Auto-renew,Occasional,Clothing,Action,Smart TV,Medium,4.7,7
Jennifer Davis,zunigashelly@example.org,zunigashelly,1950-01-15,Female,New York,2024-02-14,2025-02-13,Annual,Mastercard,Auto-renew,Regular,Books,Drama,Smart TV,Low,4.5,5
Darlene Gutierrez,perkinsmary@example.org,perkinsmary,1956-09-20,Male,San Jose,2024-01-19,2025-01-18,Monthly,Amex,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Low,4.7,1
Paula Perez,trevorwelch@example.net,trevorwelch,2003-03-12,Female,San Diego,2024-04-12,2025-04-12,Annual,Amex,Manual,Regular,Books,Sci-Fi,Tablet,Low,3.5,3
Jaime Edwards,aguirrejoshua@example.com,aguirrejoshua,1990-11-27,Male,New York,2024-04-08,2025-04-08,Annual,Amex,Manual,Occasional,Electronics,Horror,Tablet,Low,3.0,2
Sherry Salinas,roachmegan@example.org,roachmegan,1998-03-27,Male,Dallas,2024-04-04,2025-04-04,Annual,Amex,Manual,Occasional,Clothing,Action,Smart TV,High,3.1,8
Paul Harris,ashley27@example.com,ashley27,1958-05-09,Male,Philadelphia,2024-01-07,2025-01-06,Monthly,Amex,Manual,Frequent,Books,Drama,Smart TV,Low,3.3,0
James Williams,rlove@example.org,rlove,1973-10-14,Male,Philadelphia,2024-02-13,2025-02-12,Annual,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smartphone,High,3.4,10
Alan Oneal,mbarker@example.net,mbarker,1949-02-23,Female,San Diego,2024-02-14,2025-02-13,Annual,Mastercard,Manual,Frequent,Clothing,Documentary,Tablet,Low,3.3,7
Grant Jensen,tyler29@example.com,tyler29,1944-07-10,Female,Seattle,2024-04-11,2025-04-11,Monthly,Amex,Manual,Regular,Clothing,Action,Tablet,Medium,3.2,7
Traci Arellano,uwolfe@example.org,uwolfe,1974-02-15,Male,Philadelphia,2024-01-24,2025-01-23,Annual,Visa,Auto-renew,Occasional,Clothing,Horror,Tablet,Medium,3.2,2
Richard Ramsey,akemp@example.org,akemp,1982-01-12,Male,New York,2024-01-15,2025-01-14,Monthly,Amex,Manual,Occasional,Clothing,Sci-Fi,Tablet,Medium,4.9,0
Maria Lawrence,foxshelia@example.org,foxshelia,1953-10-24,Male,Charlotte,2024-02-27,2025-02-26,Annual,Amex,Manual,Regular,Electronics,Drama,Smartphone,High,3.4,7
Regina Ramsey,susan84@example.com,susan84,1982-05-29,Female,Philadelphia,2024-02-17,2025-02-16,Annual,Visa,Manual,Frequent,Clothing,Horror,Tablet,Medium,4.1,2
Lisa Reese,nataliereynolds@example.org,nataliereynolds,1989-01-13,Male,Los Angeles,2024-01-22,2025-01-21,Monthly,Visa,Auto-renew,Frequent,Clothing,Sci-Fi,Smart TV,Medium,4.9,3
Bruce Pennington,angela32@example.com,angela32,1967-12-01,Male,Indianapolis,2024-02-06,2025-02-05,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,3.4,9
Jessica Barker,henryjennifer@example.org,henryjennifer,1981-08-03,Female,San Antonio,2024-04-12,2025-04-12,Monthly,Visa,Manual,Occasional,Clothing,Horror,Smartphone,Medium,4.4,4
Alexis Vasquez,griffinbarbara@example.com,griffinbarbara,1980-07-20,Female,Detroit,2024-04-07,2025-04-07,Monthly,Mastercard,Auto-renew,Regular,Clothing,Action,Tablet,Low,3.8,3
Rebecca Lucero,martindakota@example.com,martindakota,1979-02-15,Female,Houston,2024-03-29,2025-03-29,Annual,Mastercard,Auto-renew,Frequent,Clothing,Action,Tablet,Low,4.5,6
Mary Phillips,gregorymills@example.org,gregorymills,1945-02-08,Female,El Paso,2024-01-31,2025-01-30,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.6,0
Dustin James,tiffany46@example.org,tiffany46,1937-10-13,Female,Detroit,2024-01-14,2025-01-13,Annual,Mastercard,Auto-renew,Regular,Books,Comedy,Smartphone,Medium,4.5,7
Robert Williams,tstephens@example.com,tstephens,1990-09-22,Female,Philadelphia,2024-01-07,2025-01-06,Annual,Amex,Auto-renew,Frequent,Electronics,Action,Smart TV,High,4.1,3
Lisa Washington,dbailey@example.net,dbailey,1991-11-03,Male,Phoenix,2024-03-02,2025-03-02,Annual,Visa,Manual,Frequent,Books,Drama,Smartphone,High,4.2,2
Brian French,stephenwilliams@example.net,stephenwilliams,1968-06-19,Male,New York,2024-03-15,2025-03-15,Monthly,Visa,Manual,Occasional,Electronics,Romance,Smartphone,Low,3.3,7
Elizabeth Flores,zstewart@example.net,zstewart,1936-03-11,Female,Chicago,2024-01-12,2025-01-11,Annual,Amex,Auto-renew,Regular,Books,Drama,Smart TV,High,3.2,2
Melissa Crawford,kelleybenjamin@example.org,kelleybenjamin,1947-05-19,Male,Nashville,2024-01-02,2025-01-01,Annual,Amex,Auto-renew,Regular,Electronics,Sci-Fi,Tablet,Low,4.7,8
Antonio Juarez,christopherjones@example.org,christopherjones,1990-06-24,Male,San Francisco,2024-01-25,2025-01-24,Annual,Visa,Manual,Frequent,Electronics,Drama,Tablet,Medium,4.6,2
Robert Wilson DDS,tiffany69@example.net,tiffany69,1985-05-09,Male,Los Angeles,2024-04-05,2025-04-05,Annual,Visa,Manual,Regular,Electronics,Horror,Tablet,Low,4.9,7
Christopher Clay,stanleynathan@example.org,stanleynathan,2005-07-10,Female,San Jose,2024-03-26,2025-03-26,Annual,Mastercard,Auto-renew,Frequent,Clothing,Romance,Smart TV,Low,3.2,10
Ashley Jenkins,apope@example.com,apope,1985-06-19,Male,Phoenix,2024-04-09,2025-04-09,Monthly,Visa,Manual,Frequent,Electronics,Comedy,Smartphone,Medium,4.4,9
Charles Stafford,scott67@example.net,scott67,1991-10-05,Male,Indianapolis,2024-04-14,2025-04-14,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Tablet,High,4.6,6
Jordan Jackson,ubrown@example.org,ubrown,1953-09-28,Female,Philadelphia,2024-01-05,2025-01-04,Annual,Mastercard,Manual,Occasional,Electronics,Sci-Fi,Tablet,Medium,4.4,3
Christine Wright,gmoore@example.com,gmoore,1972-02-04,Male,Los Angeles,2024-01-20,2025-01-19,Monthly,Mastercard,Manual,Occasional,Clothing,Comedy,Smart TV,High,3.1,10
Penny Jones,kgreen@example.com,kgreen,1969-08-15,Female,San Diego,2024-01-22,2025-01-21,Annual,Amex,Manual,Occasional,Electronics,Comedy,Tablet,Medium,3.4,1
Thomas Simon,kelliolson@example.org,kelliolson,1947-08-17,Male,Chicago,2024-03-21,2025-03-21,Monthly,Mastercard,Manual,Occasional,Clothing,Action,Smartphone,Medium,4.9,3
Jamie Mitchell,gamblejulie@example.net,gamblejulie,1986-02-23,Female,New York,2024-01-05,2025-01-04,Monthly,Visa,Auto-renew,Frequent,Electronics,Horror,Smart TV,Medium,4.5,6
Lauren Harris,tbriggs@example.org,tbriggs,2004-06-18,Male,Fort Worth,2024-01-09,2025-01-08,Monthly,Mastercard,Auto-renew,Frequent,Books,Documentary,Smart TV,Medium,4.3,7
Laura Martin,colelong@example.com,colelong,1964-01-01,Female,San Diego,2024-04-08,2025-04-08,Annual,Mastercard,Manual,Occasional,Electronics,Sci-Fi,Smart TV,High,3.5,2
Mark Snyder,deanwiley@example.org,deanwiley,1954-03-08,Male,Los Angeles,2024-04-11,2025-04-11,Monthly,Visa,Auto-renew,Frequent,Electronics,Action,Smart TV,Low,3.5,4
Jesus Brown,zlee@example.net,zlee,1958-12-03,Female,Los Angeles,2024-03-24,2025-03-24,Annual,Amex,Manual,Occasional,Electronics,Documentary,Tablet,Medium,3.0,4
Katherine Jackson,grahammelissa@example.org,grahammelissa,1991-05-06,Female,New York,2024-04-14,2025-04-14,Annual,Mastercard,Manual,Occasional,Electronics,Documentary,Tablet,Medium,4.6,9
Amy Serrano,weaverrobert@example.com,weaverrobert,1974-12-28,Male,New York,2024-02-13,2025-02-12,Annual,Mastercard,Manual,Frequent,Clothing,Drama,Tablet,High,3.8,5
Rachel Little,smatthews@example.com,smatthews,2003-12-29,Male,Austin,2024-01-20,2025-01-19,Annual,Mastercard,Manual,Regular,Clothing,Action,Tablet,Low,4.9,0
Chris Atkins,davidbell@example.org,davidbell,1950-04-10,Female,Los Angeles,2024-04-05,2025-04-05,Monthly,Mastercard,Manual,Occasional,Clothing,Drama,Tablet,High,3.7,3
Matthew Compton,heatherpacheco@example.org,heatherpacheco,1938-03-29,Female,Dallas,2024-03-09,2025-03-09,Annual,Visa,Manual,Occasional,Books,Romance,Smartphone,Medium,4.6,1
